gene_callers_id	source	accession	accession2	prokka function	In Proteome	Mantis annotation	GhostKoala annotation	Description	ProteinCategory1	ProteinCategory2	ProteinCategory3	TR08_B05	TR09_B05	TR10_B05	TR11_B05	TR12_B05	TR13_B05	TR14_B05	TR15_B05	TR16_B05	TR17_B05_MW
1654	prodigal	AFKMEEHG_00403	BB163_AFKMEEHG_00403	Acetyl-coenzyme A synthetase (acsA)	Y	AMP-binding enzyme	K01895	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA"	Acetate metabolism	Carbon metabolism	Carbon metabolism	0.250593	0.229628	0.192134	0.284411	0.31854	0.232972	0.139001	0.168299	0.40198	0
82	prodigal	AFKMEEHG_01685	BB163_AFKMEEHG_01685	hypothetical protein	Y	ATP citrate lyase citrate-binding	K01903	Belongs to the succinate malate CoA ligase beta subunit family	Fatty Acid Synthesis	Carbon metabolism	Carbon metabolism	0.702855	0.367441	0.468954	0.287956	0.310993	0.363896	0.393649	0.655789	0.668959	0.798703
1421	prodigal	AFKMEEHG_01399	BB163_AFKMEEHG_01399	2-oxoglutarate oxidoreductase subunit KorA (korA)	Y	COG1014	K00174	pyruvate flavodoxin ferredoxin oxidoreductase domain protein		Carbon metabolism	Carbon metabolism	0.2944	0.142801	0.187776	0.173653	0.169392	0.207068	0.176118	0.420348	0.288869	0.258671
541	prodigal	AFKMEEHG_00157	BB163_AFKMEEHG_00157	Aconitate hydratase B (acnB)	Y	Aconitase family (aconitate hydratase)	K01682	Belongs to the aconitase IPM isomerase family	Fatty Acid Synthesis	Carbon metabolism	Carbon metabolism	0.348086	0.157939	0.125485	0.142269	0.156858	0.206563	0.238904	0.478739	0	0.559747
1405	prodigal	AFKMEEHG_02241	BB163_AFKMEEHG_02241	Enolase (eno)	Y	"Enolase, C-terminal TIM barrel domain"	K01689	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis	Glycolysis	Carbon metabolism	Carbon metabolism	0.196799	0.134196	0.132345	0.163189	0.141975	0.229783	0.2075	0.318093	0.203596	1.093875
651	prodigal	AFKMEEHG_02008	BB163_AFKMEEHG_02008	Succinate--CoA ligase [ADP-forming] subunit beta (sucC)	Y	ATP-grasp domain	K01903	"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit"	Carbon fixation	Carbon metabolism	Carbon metabolism	0.278042	0.191719	0.248611	0.148993	0.137392	0.149613	0.166076	0.314495	0.684397	0.408567
194	prodigal	AFKMEEHG_00829	BB163_AFKMEEHG_00829	Fumarate hydratase class II (fumC)	Y	Fumarase C C-terminus	K01679	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	Carbon fixation	Carbon metabolism	Carbon metabolism	0.180928	0.145032	0.087795	0.124962	0.130394	0.160501	0.080091	0.234462	0	0.342669
1747	prodigal	AFKMEEHG_00310	BB163_AFKMEEHG_00310	Glyceraldehyde-3-phosphate dehydrogenase (gap)	Y	"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"	K00134	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	Glycolysis	Carbon metabolism	Carbon metabolism	0.251891	0.136074	0.218994	0.181882	0.122431	0.178761	0.208465	0.367225	2.131056	1.908278
1381	prodigal	AFKMEEHG_01229	BB163_AFKMEEHG_01229	Succinate dehydrogenase flavoprotein subunit (sdhA_1)	Y	FAD binding domain	K00239	#N/A	Carbon fixation	Carbon metabolism	Carbon metabolism	0.267085	0.188756	0.156002	0.179344	0.116884	0.15556	0.214185	0.240355	0	0
1627	prodigal	AFKMEEHG_00430	BB163_AFKMEEHG_00430	Isocitrate dehydrogenase [NADP] 2 (icd2)	Y	COG2838	K00031	PFAM Isocitrate dehydrogenase NADP-dependent monomeric type	Carbon fixation	Carbon metabolism	Carbon metabolism	0.394664	0.154743	0.172635	0.153686	0.108761	0.213	0.223494	0.848299	1.444735	1.509321
1231	prodigal	AFKMEEHG_01805	BB163_AFKMEEHG_01805	Phosphoenolpyruvate carboxykinase [GTP] (pckG)	Y	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain	K01596	"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle"	Gluconeogenesis	Carbon metabolism	Carbon metabolism	0.240462	0.146137	0.123065	0.150746	0.097481	0.130896	0.122354	0.271686	0	0.512351
1673	prodigal	AFKMEEHG_00384	BB163_AFKMEEHG_00384	Pyruvate-flavodoxin oxidoreductase (nifJ)	Y	COG1013	K03737	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin	Glycolysis	Carbon metabolism	Carbon metabolism	0.263701	0.141161	0.168091	0.149462	0.217942	0.209733	0.177788	0.391348	0.526014	0.403736
544	prodigal	AFKMEEHG_00154	BB163_AFKMEEHG_00154	Cell shape-determining protein MreB (mreB)	Y	MreB/Mbl protein	K03569	"cell shape determining protein, MreB Mrl"	Cell Morphology	Cell division	Cell division	0.153066	0.090023	0.169108	0.146736	0.131937	0.142838	0.142038	0.151423	0	0
877	prodigal	AFKMEEHG_00028	BB163_AFKMEEHG_00028	Stage 0 sporulation protein J (spo0J)	Y	"ParB family transcriptional regulator, chromosome partitioning protein"	K03497	Belongs to the ParB family	#N/A	Cell division	Cell division	0.1558	0.146609	0.102062	0.123258	0.089305	0.104034	0.124142	0.081769	0	0
1709	prodigal	AFKMEEHG_00348	BB163_AFKMEEHG_00348	hypothetical protein	Y	description:Gram-negative porin	0	Forms passive diffusion pores that allow small molecular weight hydrophilic materials across the outer membrane	Porin	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.058243	0.127883	0.37094	0.909214	0.887335	0.984958	0.398504	0.144348	0	0
481	prodigal	AFKMEEHG_02061	BB163_AFKMEEHG_02061	Peptidoglycan-associated lipoprotein (pal_1)	Y	OmpA family	K03640	PFAM OmpA MotB domain protein	Outer membrane protein/assembly	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.28763	0.432308	0.643337	0.541794	0.58753	0.574098	0.498227	0.54163	2.281323	3.064253
896	prodigal	AFKMEEHG_00047	BB163_AFKMEEHG_00047	hypothetical protein	Y	Outer membrane protein beta-barrel domain	0	Outer membrane protein beta-barrel domain	Outer membrane protein/assembly	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.140924	0.279957	0.427393	0.497722	0.503091	0.634157	0.341749	0.369808	1.34128	0
1129	prodigal	AFKMEEHG_01008	BB163_AFKMEEHG_01008	Outer membrane protein assembly factor BamD (bamD_1)	Y	Outer membrane lipoprotein	0	Outer membrane lipoprotein	Outer membrane protein/assembly	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.112176	0.180818	0.232473	0.312548	0.310216	0.235206	0.264475	0.245306	0	0
1651	prodigal	AFKMEEHG_00406	BB163_AFKMEEHG_00406	UDP-3-O-acyl-N-acetylglucosamine deacetylase (lpxC)	Y	COG0774	K02535	"Catalyzes the hydrolysis of UDP-3-O-myristoyl-N- acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis"	Lipid Synthesis	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.148444	0.21079	0.164262	0.215381	0.299565	0.250426	0.205011	0.16962	0	0
480	prodigal	AFKMEEHG_02062	BB163_AFKMEEHG_02062	Peptidoglycan-associated lipoprotein (pal_2)	Y	OmpA family	K03640	PFAM OmpA MotB domain protein	Outer membrane protein/assembly	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.168053	0.14002	0.210239	0.215158	0.285183	0.167714	0.145549	0.153125	0	0
1952	prodigal	AFKMEEHG_01642	BB163_AFKMEEHG_01642	hypothetical protein	Y	teichuronic acid biosynthesis glycosyltransferase TuaH	0	#N/A	Polysaccharide biosynthesis	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.067634	0.06819	0.083513	0.102374	0.167605	0.164799	0.154811	0.11973	0	0
1148	prodigal	AFKMEEHG_01889	BB163_AFKMEEHG_01889	UDP-glucose 4-epimerase (galE)	Y	UDP-glucose 4-epimerase	K01784	Belongs to the NAD(P)-dependent epimerase dehydratase family	Polysaccharide biosynthesis	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.103866	0.131224	0.115502	0.12228	0.165379	0.125644	0.134936	0.134599	0	0
1551	prodigal	AFKMEEHG_02194	BB163_AFKMEEHG_02194	Outer membrane protein assembly factor BamA (bamA_3)	Y	Surface antigen variable number repeat	K07277	surface antigen variable number repeat protein	Outer membrane protein/assembly	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.09721	0.101048	0.123412	0.099007	0.139814	0.134547	0.123352	0.115353	0	0
1310	prodigal	AFKMEEHG_00685	BB163_AFKMEEHG_00685	3-oxoacyl-[acyl-carrier-protein] synthase 2 (fabF)	Y	3-oxoacyl-[acyl-carrier-protein] synthase II	K09458	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	Fatty Acid Synthesis	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.212249	0.187688	0.139698	0.153116	0.129427	0.124552	0.160359	0.14484	0.214907	0
2179	prodigal	AFKMEEHG_01093	BB163_AFKMEEHG_01093	Outer membrane lipoprotein Blc (blc_2)	Y	Lipocalin-like domain	K03098	PFAM Lipocalin-related protein and Bos Can Equ allergen	Lipid Storage	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.062668	0.090095	0.057018	0.059022	0.110285	0.106131	0.081414	0.091362	0	0
1431	prodigal	AFKMEEHG_01409	BB163_AFKMEEHG_01409	Penicillin-binding protein 1A (mrcA)	Y	PBP1A family penicillin-binding protein	K05366	"TIGRFAM penicillin-binding protein, 1A family"	#N/A	Cell envelope & cell wall biogenesis	Cell envelope & cell wall biogenesis	0.045232	0.045323	0.048013	0.072776	0.089077	0.098489	0.102291	0.036635	0	0
118	prodigal	AFKMEEHG_01721	BB163_AFKMEEHG_01721	hypothetical protein	Y	localization factor PodJL	0	#N/A	#N/A	Cellular processes/organization	Cell division	0.08283	0.102069	0.032298	0.075225	0.116019	0.068707	0.081987	0.086254	0	0
1274	prodigal	AFKMEEHG_01761	BB163_AFKMEEHG_01761	DNA gyrase subunit A (gyrA)	Y	ATP binding	K02469	"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"	DNA synthesis	DNA replication & repair	DNA replication & repair	0.239344	0.231954	0.189003	0.234459	0.212873	0.262214	0.242495	0.200801	0	0
515	prodigal	AFKMEEHG_01349	BB163_AFKMEEHG_01349	hypothetical protein	Y	Class II vitamin B12-dependent ribonucleotide reductase	K00525	Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen	DNA synthesis	DNA replication & repair	DNA replication & repair	0.169816	0.140775	0.161862	0.157652	0.175649	0.160816	0.151278	0.127321	0	0
1419	prodigal	AFKMEEHG_02259	BB163_AFKMEEHG_02259	DNA-binding protein HU-beta (hupB)	Y	Bacterial DNA-binding protein	K03530	"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions"	DNA synthesis	DNA replication & repair	DNA replication & repair	0.12327	0.241663	0.317774	0.203173	0.170448	0.134205	0.177938	0.239615	0	0
1963	prodigal	AFKMEEHG_00173	BB163_AFKMEEHG_00173	DNA replication and repair protein RecF (recF_1)	Y	AAA ATPase domain	0	"AAA domain, putative AbiEii toxin, Type IV TA system"	#N/A	DNA replication & repair	DNA replication & repair	0.041342	0.061237	0.045974	0.100588	0.090078	0.136696	0.063656	0.040181	0	0
1711	prodigal	AFKMEEHG_00346	BB163_AFKMEEHG_00346	hypothetical protein	Y	"2 iron, 2 sulfur cluster binding"	0	Rieske [2Fe-2S] domain	Ferredoxin	Electron transport	Electron transport	0.162573	0.2231	0.184894	0.210534	0.24523	0.22616	0.211205	0.21726	0	0
657	prodigal	AFKMEEHG_02002	BB163_AFKMEEHG_02002	NADH dehydrogenase-like protein	Y	NADH quinone reductase (non-electrogenic)	K03885	PFAM FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Photosynthesis	Electron transport	Electron transport	0.087364	0.099338	0.147051	0.138851	0.18779	0.212421	0.18538	0.101892	0.207878	0.744585
364	prodigal	AFKMEEHG_00639	BB163_AFKMEEHG_00639	NAD(P)H-quinone oxidoreductase subunit H (ndhH)	Y	NAD binding	K00333	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"	Photosynthesis	Electron transport	Electron transport	0.097909	0.179148	0.144227	0.151493	0.175819	0.172581	0.149406	0.095159	0	0
366	prodigal	AFKMEEHG_00641	BB163_AFKMEEHG_00641	NADH-quinone oxidoreductase subunit B (nuoB)	Y	"NADH ubiquinone oxidoreductase, 20 Kd subunit"	K00331	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"	Eletron transport	Electron transport	Electron transport	0.06888	0.18519	0.134291	0.125112	0.141007	0.107128	0.127835	0.129108	0	0
1382	prodigal	AFKMEEHG_01230	BB163_AFKMEEHG_01230	hypothetical protein	Y	2Fe-2S iron-sulfur cluster binding domain	K00240	TIGRFAM succinate dehydrogenase and fumarate reductase iron-sulfur protein	Ferredoxin	Electron transport	Electron transport	0.219952	0.202665	0.10006	0.151483	0.128565	0.123723	0.204786	0.120248	0	0
2036	prodigal	AFKMEEHG_00766	BB163_AFKMEEHG_00766	Proton-translocating ferredoxin:NAD( ) oxidoreductase complex subunit C (rnfC)	Y	H+/Na+-translocating ferredoxin NAD+ oxidoreductase subunit C	K03615	Part of a membrane complex involved in electron transport	Ferredoxin	Electron transport	Electron transport	0.135662	0.149601	0.108002	0.11679	0.1247	0.104618	0.23132	0.203958	0	0
2034	prodigal	AFKMEEHG_00768	BB163_AFKMEEHG_00768	Ion-translocating oxidoreductase complex subunit G (rnfG)	Y	FMN-binding domain	K03612	Part of a membrane complex involved in electron transport	Eletron transport	Electron transport	Electron transport	0.08218	0.120831	0.065424	0.09433	0.123962	0.08947	0.124557	0.179711	0	0
915	prodigal	AFKMEEHG_00066	BB163_AFKMEEHG_00066	hypothetical protein	Y	Flavin containing amine oxidoreductase	0	FAD dependent oxidoreductase	Nitrogen Assimilation	Electron transport	Electron transport	0.099396	0.100214	0.111966	0.147107	0.117803	0.171767	0.135278	0.151807	0.225245	0
1792	prodigal	AFKMEEHG_00265	BB163_AFKMEEHG_00265	15-cis-phytoene desaturase (pds_1)	Y	oxidoreductase activity	K02293	PFAM amine oxidase	Nitrogen Assimilation	Electron transport	Electron transport	0.144769	0.158934	0.14677	0.157774	0.109187	0.132093	0.118219	0.102512	0	0
1229	prodigal	AFKMEEHG_01808	BB163_AFKMEEHG_01808	ATP synthase subunit beta (atpD)	Y	ATP binding	K02112	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits	ATP synthase	Energy metabolism (respiration & ATP synthesis)	Energy metabolism (respiration & ATP synthesis)	0.75674	0.491869	0.913105	0.480227	0.408982	0.610925	0.606338	0.991135	10.01412	12.4162
1393	prodigal	AFKMEEHG_01241	BB163_AFKMEEHG_01241	ATP synthase gamma chain (atpG)	Y	ATP synthase	K02115	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex	ATP synthase	Energy metabolism (respiration & ATP synthesis)	Energy metabolism (respiration & ATP synthesis)	0.362472	0.398936	0.306647	0.318926	0.330935	0.258468	0.297411	0.324479	0	0
1392	prodigal	AFKMEEHG_01240	BB163_AFKMEEHG_01240	ATP synthase subunit alpha (atpA)	Y	ATP binding	K02111	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	ATP synthase	Energy metabolism (respiration & ATP synthesis)	Energy metabolism (respiration & ATP synthesis)	0.543817	0.301022	0.46568	0.298772	0.300243	0.384386	0.3848	0.54927	1.184033	2.12051
1143	prodigal	AFKMEEHG_01894	BB163_AFKMEEHG_01894	ATP synthase subunit b (atpF_2)	Y	ATP synthase B/B' CF(0)	K02109	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation"	ATP synthase	Energy metabolism (respiration & ATP synthesis)	Energy metabolism (respiration & ATP synthesis)	0.309818	0.360239	0.388806	0.279218	0.233669	0.178343	0.249825	0.1246	0	0
1228	prodigal	AFKMEEHG_01809	BB163_AFKMEEHG_01809	"ATP synthase epsilon chain, sodium ion specific (atpC)"	Y	"ATP synthase A chain, sodium ion specific (EC 3.6.3.15) (Protein 6)"	0	"PFAM H -transporting two-sector ATPase, delta epsilon subunit"	ATP synthase	Energy metabolism (respiration & ATP synthesis)	Energy metabolism (respiration & ATP synthesis)	0.127472	0.266561	0.270618	0.270128	0.160235	0.27756	0.165604	0.278757	0	0
1145	prodigal	AFKMEEHG_01892	BB163_AFKMEEHG_01892	ATP synthase subunit a (atpB_2)	Y	ATP synthase A chain	K02108	it plays a direct role in the translocation of protons across the membrane	ATP synthase	Energy metabolism (respiration & ATP synthesis)	Energy metabolism (respiration & ATP synthesis)	0.085958	0.113748	0.131976	0.132821	0.133714	0.152073	0.144242	0.172309	0	0
1420	prodigal	AFKMEEHG_02260	BB163_AFKMEEHG_02260	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (accA)	Y	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit	K01962	"Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA"	Fatty Acid Synthesis	Fatty Acid Synthesis	Carbon metabolism	0.18472	0.228253	0.259737	0.221422	0.249085	0.243765	0.179377	0.212174	0	0
