gene_callers_id	source	accession	function	e_value
41	prodigal	AFKMEEHG_02054	Chemoreceptor glutamine deamidase CheD (cheD)	0
42	prodigal	AFKMEEHG_02053	Hydroxyethylthiazole kinase (thiM)	0
43	prodigal	AFKMEEHG_02052	hypothetical protein	0
44	prodigal	AFKMEEHG_02051	Adaptive-response sensory-kinase SasA (sasA_4)	0
45	prodigal	AFKMEEHG_02050	Putative ketoacyl reductase (actIII)	0
46	prodigal	AFKMEEHG_02049	hypothetical protein	0
47	prodigal	AFKMEEHG_02048	hypothetical protein	0
48	prodigal	AFKMEEHG_02047	Lipoyl synthase (lipA)	0
49	prodigal	AFKMEEHG_02046	Putative peroxiredoxin bcp (bcp_2)	0
50	prodigal	AFKMEEHG_02045	hypothetical protein	0
51	prodigal	AFKMEEHG_01544	Putative peroxiredoxin bcp (bcp_1)	0
52	prodigal	AFKMEEHG_01545	hypothetical protein	0
53	prodigal	AFKMEEHG_01656	hypothetical protein	0
54	prodigal	AFKMEEHG_01657	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	0
55	prodigal	AFKMEEHG_01658	hypothetical protein	0
56	prodigal	AFKMEEHG_01659	hypothetical protein	0
57	prodigal	AFKMEEHG_01660	Protein glycosylation K (pglK_2)	0
58	prodigal	AFKMEEHG_01661	hypothetical protein	0
59	prodigal	AFKMEEHG_01662	D-inositol-3-phosphate glycosyltransferase (mshA_9)	0
60	prodigal	AFKMEEHG_01663	hypothetical protein	0
61	prodigal	AFKMEEHG_01664	hypothetical protein	0
62	prodigal	AFKMEEHG_01665	Beta-monoglucosyldiacylglycerol synthase	0
63	prodigal	AFKMEEHG_01666	D-inositol-3-phosphate glycosyltransferase (mshA_10)	0
64	prodigal	AFKMEEHG_01667	hypothetical protein	0
65	prodigal	AFKMEEHG_01668	hypothetical protein	0
66	prodigal	AFKMEEHG_01669	hypothetical protein	0
67	prodigal	AFKMEEHG_01670	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (dapH)"	0
68	prodigal	AFKMEEHG_01671	hypothetical protein	0
69	prodigal	AFKMEEHG_01672	hypothetical protein	0
70	prodigal	AFKMEEHG_01673	Serine acetyltransferase (cysE_2)	0
71	prodigal	AFKMEEHG_01674	hypothetical protein	0
72	prodigal	AFKMEEHG_01675	Serine-protein kinase RsbW (rsbW)	0
73	prodigal	AFKMEEHG_01676	Anti-sigma-B factor antagonist (rsbV)	0
74	prodigal	AFKMEEHG_01677	UTP--glucose-1-phosphate uridylyltransferase (cugP_2)	0
75	prodigal	AFKMEEHG_01678	hypothetical protein	0
76	prodigal	AFKMEEHG_01679	putative sugar transferase EpsL (epsL)	0
77	prodigal	AFKMEEHG_01680	hypothetical protein	0
78	prodigal	AFKMEEHG_01681	Anaerobic nitric oxide reductase transcription regulator NorR (norR)	0
79	prodigal	AFKMEEHG_01682	hypothetical protein	0
80	prodigal	AFKMEEHG_01683	hypothetical protein	0
81	prodigal	AFKMEEHG_01684	hypothetical protein	0
82	prodigal	AFKMEEHG_01685	hypothetical protein	0
83	prodigal	AFKMEEHG_01686	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (lgt)	0
84	prodigal	AFKMEEHG_01687	putative iron export permease protein FetB (fetB)	0
85	prodigal	AFKMEEHG_01688	putative iron export ATP-binding protein FetA (fetA)	0
86	prodigal	AFKMEEHG_01689	Putative manganese exporter (mneA)	0
87	prodigal	AFKMEEHG_01690	Outer membrane lipoprotein Blc (blc_3)	0
88	prodigal	AFKMEEHG_01691	Mycothiol acetyltransferase (mshD)	0
89	prodigal	AFKMEEHG_01692	Anaerobic nitric oxide reductase flavorubredoxin (norV)	0
90	prodigal	AFKMEEHG_01693	Lipoprotein-releasing system transmembrane protein LolC (lolC)	0
91	prodigal	AFKMEEHG_01694	Lipoprotein-releasing system transmembrane protein LolE (lolE_2)	0
92	prodigal	AFKMEEHG_01695	hypothetical protein	0
93	prodigal	AFKMEEHG_01696	hypothetical protein	0
94	prodigal	AFKMEEHG_01697	N-acetyl-gamma-glutamyl-phosphate reductase (argC)	0
95	prodigal	AFKMEEHG_01698	Arginine biosynthesis bifunctional protein ArgJ (argJ)	0
96	prodigal	AFKMEEHG_01699	Acetylglutamate kinase (argB)	0
97	prodigal	AFKMEEHG_01700	Ornithine carbamoyltransferase (argF)	0
98	prodigal	AFKMEEHG_01701	Arginine repressor (argR)	0
99	prodigal	AFKMEEHG_01702	Argininosuccinate synthase (argG)	0
100	prodigal	AFKMEEHG_01703	Cytochrome c551 peroxidase (ccp)	0
101	prodigal	AFKMEEHG_01704	Long-chain-fatty-acid--CoA ligase (fadD)	0
102	prodigal	AFKMEEHG_01705	DNA polymerase III PolC-type (polC_1)	0
103	prodigal	AFKMEEHG_01706	Argininosuccinate lyase (argH)	0
104	prodigal	AFKMEEHG_01707	Tail-specific protease (prc)	0
105	prodigal	AFKMEEHG_01708	Fructose-bisphosphate aldolase (fda)	0
106	prodigal	AFKMEEHG_01709	N-acetylcysteine deacetylase (scmP)	0
107	prodigal	AFKMEEHG_01710	hypothetical protein	0
108	prodigal	AFKMEEHG_01711	Ribose-5-phosphate isomerase B (rpiB)	0
109	prodigal	AFKMEEHG_01712	Polyphosphate kinase (ppk)	0
110	prodigal	AFKMEEHG_01713	5-formyltetrahydrofolate cyclo-ligase	0
111	prodigal	AFKMEEHG_01714	putative protein YcgM (ycgM)	0
112	prodigal	AFKMEEHG_01715	Dihydroorotase (pyrC)	0
113	prodigal	AFKMEEHG_01716	hypothetical protein	0
114	prodigal	AFKMEEHG_01717	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (COQ5_2)"	0
115	prodigal	AFKMEEHG_01718	DNA polymerase III PolC-type (polC_2)	0
116	prodigal	AFKMEEHG_01719	hypothetical protein	0
117	prodigal	AFKMEEHG_01720	Aurachin B dehydrogenase (auaH)	0
118	prodigal	AFKMEEHG_01721	hypothetical protein	0
119	prodigal	AFKMEEHG_01722	Membrane lipoprotein TmpC (tmpC)	0
120	prodigal	AFKMEEHG_01723	hypothetical protein	0
121	prodigal	AFKMEEHG_01724	Sporulation initiation inhibitor protein Soj (soj_2)	0
122	prodigal	AFKMEEHG_01726	Long-chain-fatty-acid--CoA ligase FadD15	0
123	prodigal	AFKMEEHG_01727	Adenine DNA glycosylase (mutY)	0
124	prodigal	AFKMEEHG_01728	50S ribosomal protein L19 (rplS)	0
125	prodigal	AFKMEEHG_01729	tRNA (guanine-N(1)-)-methyltransferase (trmD)	0
126	prodigal	AFKMEEHG_01730	Ribosome maturation factor RimM (rimM)	0
127	prodigal	AFKMEEHG_01731	hypothetical protein	0
128	prodigal	AFKMEEHG_01732	Signal recognition particle protein (ffh)	0
129	prodigal	AFKMEEHG_01733	Bifunctional protein HldE (hldE_2)	0
130	prodigal	AFKMEEHG_01734	hypothetical protein	0
131	prodigal	AFKMEEHG_01735	hypothetical protein	0
132	prodigal	AFKMEEHG_01736	hypothetical protein	0
133	prodigal	AFKMEEHG_01737	hypothetical protein	0
134	prodigal	AFKMEEHG_01738	Thiamine thiazole synthase (thi4)	0
135	prodigal	AFKMEEHG_01739	Thiamine-phosphate synthase (thiE_1)	0
136	prodigal	AFKMEEHG_01740	Thiamine-phosphate synthase (thiE_2)	0
137	prodigal	AFKMEEHG_01741	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (thiD)	0
138	prodigal	AFKMEEHG_01742	Proton/glutamate-aspartate symporter (gltP)	0
139	prodigal	AFKMEEHG_01743	hypothetical protein	0
140	prodigal	AFKMEEHG_01744	hypothetical protein	0
141	prodigal	AFKMEEHG_01745	Cytosol aminopeptidase (pepA)	0
142	prodigal	AFKMEEHG_01746	Bifunctional oligoribonuclease and PAP phosphatase NrnA (nrnA)	0
143	prodigal	AFKMEEHG_01747	Protein translocase subunit SecA (secA)	0
144	prodigal	AFKMEEHG_01748	Phosphoribosylformylglycinamidine synthase subunit PurL (purL)	0
145	prodigal	AFKMEEHG_01749	Bifunctional NAD(P)H-hydrate repair enzyme Nnr (nnr)	0
146	prodigal	AFKMEEHG_01750	Glutamate-pyruvate aminotransferase AlaC (alaC)	0
147	prodigal	AFKMEEHG_01751	hypothetical protein	0
148	prodigal	AFKMEEHG_01752	hypothetical protein	0
149	prodigal	AFKMEEHG_01753	"GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase (pglI)"	0
150	prodigal	AFKMEEHG_01754	hypothetical protein	0
151	prodigal	AFKMEEHG_01755	hypothetical protein	0
152	prodigal	AFKMEEHG_01756	hypothetical protein	0
153	prodigal	AFKMEEHG_01757	hypothetical protein	0
154	prodigal	AFKMEEHG_01758	hypothetical protein	0
155	prodigal	AFKMEEHG_01045	hypothetical protein	0
156	prodigal	AFKMEEHG_01046	hypothetical protein	0
157	prodigal	AFKMEEHG_01047	Phosphate transport system permease protein PstC 1 (pstC1)	0
158	prodigal	AFKMEEHG_01048	Phosphate-binding protein PstS 1 (pstS1)	0
159	prodigal	AFKMEEHG_01049	hypothetical protein	0
160	prodigal	AFKMEEHG_00795	hypothetical protein	0
161	prodigal	AFKMEEHG_00796	hypothetical protein	0
162	prodigal	AFKMEEHG_00797	hypothetical protein	0
163	prodigal	AFKMEEHG_00798	hypothetical protein	0
164	prodigal	AFKMEEHG_00799	"Ubiquinone biosynthesis O-methyltransferase, mitochondrial (COQ3)"	0
165	prodigal	AFKMEEHG_00800	N-acetylmuramic acid 6-phosphate phosphatase (mupP)	0
166	prodigal	AFKMEEHG_00801	hypothetical protein	0
167	prodigal	AFKMEEHG_00802	hypothetical protein	0
168	prodigal	AFKMEEHG_00803	hypothetical protein	0
169	prodigal	AFKMEEHG_00804	hypothetical protein	0
170	prodigal	AFKMEEHG_00805	hypothetical protein	0
171	prodigal	AFKMEEHG_00806	hypothetical protein	0
172	prodigal	AFKMEEHG_00807	hypothetical protein	0
173	prodigal	AFKMEEHG_00808	tRNA (guanosine(18)-2'-O)-methyltransferase (trmH)	0
174	prodigal	AFKMEEHG_00809	hypothetical protein	0
175	prodigal	AFKMEEHG_00810	Thioredoxin reductase (trxB)	0
176	prodigal	AFKMEEHG_00811	Thioredoxin (trxA_2)	0
177	prodigal	AFKMEEHG_00812	DNA polymerase III subunit alpha (dnaE)	0
178	prodigal	AFKMEEHG_00813	D-inositol-3-phosphate glycosyltransferase (mshA_1)	0
179	prodigal	AFKMEEHG_00814	Kojibiose phosphorylase (kojP)	0
180	prodigal	AFKMEEHG_00815	hypothetical protein	0
181	prodigal	AFKMEEHG_00816	hypothetical protein	0
182	prodigal	AFKMEEHG_00817	hypothetical protein	0
183	prodigal	AFKMEEHG_00818	Oxaloacetate decarboxylase alpha chain (oadA)	0
184	prodigal	AFKMEEHG_00819	oxaloacetate decarboxylase gamma chain (oadG)	0
185	prodigal	AFKMEEHG_00820	Stress response protein NhaX (nhaX)	0
186	prodigal	AFKMEEHG_00821	hypothetical protein	0
187	prodigal	AFKMEEHG_00822	hypothetical protein	0
188	prodigal	AFKMEEHG_00823	Chaperone protein HtpG (htpG)	0
189	prodigal	AFKMEEHG_00824	2-keto-3-deoxy-D-glycero-D-galacto-9-phosphonono nic acid phosphatase	0
190	prodigal	AFKMEEHG_00825	putative nicotinate-nucleotide pyrophosphorylase [carboxylating] (nadC_2)	0
191	prodigal	AFKMEEHG_00826	7-carboxy-7-deazaguanine synthase (queE_1)	0
192	prodigal	AFKMEEHG_00827	Anaerobic ribonucleoside-triphosphate reductase (nrdD)	0
193	prodigal	AFKMEEHG_00828	Polyphosphate:ADP phosphotransferase	0
194	prodigal	AFKMEEHG_00829	Fumarate hydratase class II (fumC)	0
195	prodigal	AFKMEEHG_00830	Putative efflux system component YknX (yknX)	0
196	prodigal	AFKMEEHG_00831	hypothetical protein	0
197	prodigal	AFKMEEHG_00832	Lipoprotein-releasing system ATP-binding protein LolD (lolD_2)	0
198	prodigal	AFKMEEHG_00833	Sensor histidine kinase RcsC (rcsC_7)	0
199	prodigal	AFKMEEHG_01082	Phosphoglucomutase (pgm_1)	0
200	prodigal	AFKMEEHG_01081	hypothetical protein	0
201	prodigal	AFKMEEHG_01080	hypothetical protein	0
202	prodigal	AFKMEEHG_01369	Phosphoglucomutase (pgm_2)	0
203	prodigal	AFKMEEHG_01368	hypothetical protein	0
204	prodigal	AFKMEEHG_01367	hypothetical protein	0
205	prodigal	AFKMEEHG_00581	Peptide chain release factor 3 (prfC)	0
206	prodigal	AFKMEEHG_00580	C4-dicarboxylic acid transporter DauA (dauA)	0
207	prodigal	AFKMEEHG_00579	hypothetical protein	0
208	prodigal	AFKMEEHG_00576	15-cis-phytoene desaturase (pds_2)	0
209	prodigal	AFKMEEHG_00575	Recombination protein RecR (recR)	0
210	prodigal	AFKMEEHG_00574	Nucleoid-associated protein YbaB (ybaB)	0
211	prodigal	AFKMEEHG_00573	Apulose-4-phosphate transketolase subunit B (aptB)	0
212	prodigal	AFKMEEHG_00572	Ribosomal RNA small subunit methyltransferase A (rsmA)	0
213	prodigal	AFKMEEHG_00571	hypothetical protein	0
214	prodigal	AFKMEEHG_00570	Universal stress protein F (uspF)	0
215	prodigal	AFKMEEHG_00569	hypothetical protein	0
216	prodigal	AFKMEEHG_00568	hypothetical protein	0
217	prodigal	AFKMEEHG_00567	hypothetical protein	0
218	prodigal	AFKMEEHG_00566	Sensor kinase CckA (cckA_1)	0
219	prodigal	AFKMEEHG_00565	Sensor histidine kinase RcsC (rcsC_6)	0
220	prodigal	AFKMEEHG_00564	hypothetical protein	0
221	prodigal	AFKMEEHG_00563	hypothetical protein	0
222	prodigal	AFKMEEHG_00562	hypothetical protein	0
223	prodigal	AFKMEEHG_00561	hypothetical protein	0
224	prodigal	AFKMEEHG_00560	Sensor histidine kinase RcsC (rcsC_5)	0
225	prodigal	AFKMEEHG_00559	hypothetical protein	0
226	prodigal	AFKMEEHG_00558	hypothetical protein	0
227	prodigal	AFKMEEHG_00557	Sensor histidine kinase RcsC (rcsC_4)	0
228	prodigal	AFKMEEHG_00556	hypothetical protein	0
229	prodigal	AFKMEEHG_00555	hypothetical protein	0
230	prodigal	AFKMEEHG_00554	hypothetical protein	0
231	prodigal	AFKMEEHG_00553	hypothetical protein	0
232	prodigal	AFKMEEHG_00552	Sulfate/thiosulfate import ATP-binding protein CysA (cysA)	0
233	prodigal	AFKMEEHG_00551	Putative aliphatic sulfonates transport permease protein SsuC (ssuC)	0
234	prodigal	AFKMEEHG_00550	hypothetical protein	0
235	prodigal	AFKMEEHG_00549	Vitamin B12 transporter BtuB (btuB_2)	0
236	prodigal	AFKMEEHG_00548	Sensor histidine kinase RcsC (rcsC_3)	0
237	prodigal	AFKMEEHG_00547	hypothetical protein	0
238	prodigal	AFKMEEHG_00546	hypothetical protein	0
239	prodigal	AFKMEEHG_00545	hypothetical protein	0
240	prodigal	AFKMEEHG_00544	Multidrug transporter EmrE (emrE)	0
241	prodigal	AFKMEEHG_00543	hypothetical protein	0
242	prodigal	AFKMEEHG_00542	hypothetical protein	0
243	prodigal	AFKMEEHG_00541	Glycine/sarcosine/dimethylglycine N-methyltransferase	0
244	prodigal	AFKMEEHG_00540	Putative mycofactocin radical SAM maturase MftC (mftC_1)	0
245	prodigal	AFKMEEHG_00539	Arsenate reductase (arsC_2)	0
246	prodigal	AFKMEEHG_00538	hypothetical protein	0
247	prodigal	AFKMEEHG_00537	hypothetical protein	0
248	prodigal	AFKMEEHG_00536	hypothetical protein	0
249	prodigal	AFKMEEHG_00535	Arsenate reductase (arsC_1)	0
250	prodigal	AFKMEEHG_00534	Arsenical-resistance protein Acr3 (acr3)	0
251	prodigal	AFKMEEHG_00533	Ribosomal protein S6--L-glutamate ligase (rimK)	0
252	prodigal	AFKMEEHG_00532	hypothetical protein	0
253	prodigal	AFKMEEHG_00531	hypothetical protein	0
254	prodigal	AFKMEEHG_00530	hypothetical protein	0
255	prodigal	AFKMEEHG_00529	"GTP 3',8-cyclase (moaA_2)"	0
256	prodigal	AFKMEEHG_00528	hypothetical protein	0
257	prodigal	AFKMEEHG_00527	ECF RNA polymerase sigma factor SigW (sigW)	0
258	prodigal	AFKMEEHG_00526	hypothetical protein	0
259	prodigal	AFKMEEHG_00525	hypothetical protein	0
260	prodigal	AFKMEEHG_00524	hypothetical protein	0
261	prodigal	AFKMEEHG_00523	hypothetical protein	0
262	prodigal	AFKMEEHG_00522	hypothetical protein	0
263	prodigal	AFKMEEHG_00521	hypothetical protein	0
264	prodigal	AFKMEEHG_00520	hypothetical protein	0
265	prodigal	AFKMEEHG_00519	Quinone reductase (chrR)	0
266	prodigal	AFKMEEHG_00518	hypothetical protein	0
267	prodigal	AFKMEEHG_00517	hypothetical protein	0
268	prodigal	AFKMEEHG_00516	hypothetical protein	0
269	prodigal	AFKMEEHG_00515	hypothetical protein	0
270	prodigal	AFKMEEHG_00514	Type 3 secretion system secretin (sctC_1)	0
271	prodigal	AFKMEEHG_00513	hypothetical protein	0
272	prodigal	AFKMEEHG_00512	hypothetical protein	0
273	prodigal	AFKMEEHG_00511	hypothetical protein	0
274	prodigal	AFKMEEHG_00510	hypothetical protein	0
275	prodigal	AFKMEEHG_00509	hypothetical protein	0
276	prodigal	AFKMEEHG_00508	hypothetical protein	0
277	prodigal	AFKMEEHG_00507	hypothetical protein	0
278	prodigal	AFKMEEHG_00506	putative protein/MSMEI_1241	0
279	prodigal	AFKMEEHG_00505	hypothetical protein	0
280	prodigal	AFKMEEHG_00504	Chromosome partition protein Smc (smc_2)	0
281	prodigal	AFKMEEHG_00503	hypothetical protein	0
282	prodigal	AFKMEEHG_00502	Formylglycine-generating enzyme	0
283	prodigal	AFKMEEHG_00501	ATP-dependent zinc metalloprotease FtsH (ftsH_1)	0
284	prodigal	AFKMEEHG_00500	Chaperone protein DnaK (dnaK_1)	0
285	prodigal	AFKMEEHG_00499	hypothetical protein	0
286	prodigal	AFKMEEHG_00498	hypothetical protein	0
287	prodigal	AFKMEEHG_00497	"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (COQ5_1)"	0
288	prodigal	AFKMEEHG_00496	Thiol:disulfide interchange protein DsbD (dsbD_1)	0
289	prodigal	AFKMEEHG_00495	Thiol-disulfide oxidoreductase ResA (resA_1)	0
290	prodigal	AFKMEEHG_00494	hypothetical protein	0
291	prodigal	AFKMEEHG_00493	hypothetical protein	0
292	prodigal	AFKMEEHG_00492	L-cysteine S-thiosulfotransferase subunit SoxA (soxA)	0
293	prodigal	AFKMEEHG_00491	hypothetical protein	0
294	prodigal	AFKMEEHG_00490	hypothetical protein	0
295	prodigal	AFKMEEHG_00489	hypothetical protein	0
296	prodigal	AFKMEEHG_00488	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain (fccB_1)	0
297	prodigal	AFKMEEHG_00182	hypothetical protein	0
298	prodigal	AFKMEEHG_00183	hypothetical protein	0
299	prodigal	AFKMEEHG_00184	hypothetical protein	0
300	prodigal	AFKMEEHG_01910	hypothetical protein	0
301	prodigal	AFKMEEHG_01909	hypothetical protein	0
302	prodigal	AFKMEEHG_01908	Heme/hemopexin transporter protein HuxB (hxuB)	0
303	prodigal	AFKMEEHG_01907	hypothetical protein	0
304	prodigal	AFKMEEHG_01906	hypothetical protein	0
305	prodigal	AFKMEEHG_01905	hypothetical protein	0
306	prodigal	AFKMEEHG_01904	hypothetical protein	0
307	prodigal	AFKMEEHG_01317	hypothetical protein	0
308	prodigal	AFKMEEHG_01316	hypothetical protein	0
309	prodigal	AFKMEEHG_01315	hypothetical protein	0
310	prodigal	AFKMEEHG_01314	hypothetical protein	0
311	prodigal	AFKMEEHG_01313	hypothetical protein	0
312	prodigal	AFKMEEHG_01312	IS5 family transposase ISCph12	0
313	prodigal	AFKMEEHG_01311	hypothetical protein	0
314	prodigal	AFKMEEHG_01310	hypothetical protein	0
315	prodigal	AFKMEEHG_01309	hypothetical protein	0
316	prodigal	AFKMEEHG_01308	hypothetical protein	0
317	prodigal	AFKMEEHG_01307	hypothetical protein	0
318	prodigal	AFKMEEHG_01306	hypothetical protein	0
319	prodigal	AFKMEEHG_01305	hypothetical protein	0
320	prodigal	AFKMEEHG_01289	hypothetical protein	0
321	prodigal	AFKMEEHG_01288	hypothetical protein	0
322	prodigal	AFKMEEHG_01287	hypothetical protein	0
323	prodigal	AFKMEEHG_01286	putative type I restriction enzymeP M protein	0
324	prodigal	AFKMEEHG_01285	hypothetical protein	0
325	prodigal	AFKMEEHG_01284	hypothetical protein	0
326	prodigal	AFKMEEHG_01283	hypothetical protein	0
327	prodigal	AFKMEEHG_01282	hypothetical protein	0
328	prodigal	AFKMEEHG_01281	hypothetical protein	0
329	prodigal	AFKMEEHG_01280	hypothetical protein	0
330	prodigal	AFKMEEHG_02107	hypothetical protein	0
331	prodigal	AFKMEEHG_02106	hypothetical protein	0
332	prodigal	AFKMEEHG_00607	hypothetical protein	0
333	prodigal	AFKMEEHG_00606	hypothetical protein	0
334	prodigal	AFKMEEHG_00605	L-galactonate-5-dehydrogenase (lgoD_2)	0
335	prodigal	AFKMEEHG_00604	Na( )/H( ) antiporter subunit A (mrpA)	0
336	prodigal	AFKMEEHG_00603	Na( )/H( ) antiporter subunit B (mrpB)	0
337	prodigal	AFKMEEHG_00602	Na( )/H( ) antiporter subunit C (mrpC)	0
338	prodigal	AFKMEEHG_00601	Na( )/H( ) antiporter subunit D (mrpD)	0
339	prodigal	AFKMEEHG_00600	Na( )/H( ) antiporter subunit E (mrpE)	0
340	prodigal	AFKMEEHG_00599	hypothetical protein	0
341	prodigal	AFKMEEHG_00598	Na( )/H( ) antiporter subunit G (mrpG)	0
342	prodigal	AFKMEEHG_00597	Protein UmuC (umuC)	0
343	prodigal	AFKMEEHG_00596	hypothetical protein	0
344	prodigal	AFKMEEHG_00595	hypothetical protein	0
345	prodigal	AFKMEEHG_00594	Cystathionine beta-lyase (metC)	0
346	prodigal	AFKMEEHG_00593	hypothetical protein	0
347	prodigal	AFKMEEHG_00592	hypothetical protein	0
348	prodigal	AFKMEEHG_00591	hypothetical protein	0
349	prodigal	AFKMEEHG_00590	hypothetical protein	0
350	prodigal	AFKMEEHG_00589	hypothetical protein	0
351	prodigal	AFKMEEHG_00588	Thioredoxin 1 (trxA_1)	0
352	prodigal	AFKMEEHG_00587	"6-carboxy-5,6,7,8-tetrahydropterin synthase (queD)"	0
353	prodigal	AFKMEEHG_00586	GTP cyclohydrolase 1 (folE)	0
354	prodigal	AFKMEEHG_00585	hypothetical protein	0
355	prodigal	AFKMEEHG_00584	NAD(P)H-quinone oxidoreductase subunit 2 (ndhB_2)	0
356	prodigal	AFKMEEHG_00583	NAD(P)H-quinone oxidoreductase chain 4 1 (ndhD1)	0
357	prodigal	AFKMEEHG_00582	"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic (ndhB_1)"	0
358	prodigal	AFKMEEHG_00633	hypothetical protein	0
359	prodigal	AFKMEEHG_00634	hypothetical protein	0
360	prodigal	AFKMEEHG_00635	NADH-quinone oxidoreductase subunit K (nuoK)	0
361	prodigal	AFKMEEHG_00636	hypothetical protein	0
362	prodigal	AFKMEEHG_00637	"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic (ndhI_1)"	0
363	prodigal	AFKMEEHG_00638	NAD(P)H-quinone oxidoreductase subunit 1 (ndhA)	0
364	prodigal	AFKMEEHG_00639	NAD(P)H-quinone oxidoreductase subunit H (ndhH)	0
365	prodigal	AFKMEEHG_00640	"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (ndhJ)"	0
366	prodigal	AFKMEEHG_00641	NADH-quinone oxidoreductase subunit B (nuoB)	0
367	prodigal	AFKMEEHG_00642	"NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic (ndhC)"	0
368	prodigal	AFKMEEHG_00643	putative protein	0
369	prodigal	AFKMEEHG_00644	hypothetical protein	0
370	prodigal	AFKMEEHG_00645	putative protein	0
371	prodigal	AFKMEEHG_00646	hypothetical protein	0
372	prodigal	AFKMEEHG_00647	Beta-barrel assembly-enhancing protease (bepA_2)	0
373	prodigal	AFKMEEHG_00648	Ferrochelatase (hemH_1)	0
374	prodigal	AFKMEEHG_00649	hypothetical protein	0
375	prodigal	AFKMEEHG_00652	AP-4-A phosphorylase	0
376	prodigal	AFKMEEHG_00653	hypothetical protein	0
377	prodigal	AFKMEEHG_00654	Antibiotic efflux pump outer membrane protein ArpC (arpC)	0
378	prodigal	AFKMEEHG_00655	Replication-associated recombination protein A (rarA)	0
379	prodigal	AFKMEEHG_00656	Riboflavin synthase (ribE)	0
380	prodigal	AFKMEEHG_00657	Thiol peroxidase (tpx)	0
381	prodigal	AFKMEEHG_00658	hypothetical protein	0
382	prodigal	AFKMEEHG_00659	hypothetical protein	0
383	prodigal	AFKMEEHG_00660	Riboflavin biosynthesis protein RibD (ribD)	0
